address,city,date,id,injured,killed,lat,lng,source,state
1900 block of 16th St SE,Washington,3/20/2020,1643492,0,1,38.8670244,-76.9819939,https://mpdc.dc.gov/release/arrest-made-homicide-1900-block-16th-street-southeast-1,District of Columbia
N/A,Claremore,3/20/2020,1645275,0,0,36.3126005,-95.6160686,https://www.claremoreprogress.com/news/man-armed-with-shotgun-charged-with-releasing-dangerous-dog-on/article_e23887d8-6d3a-11ea-80ed-2b52d54f42b0.html,Oklahoma
800 block of Lincoln St,Norfolk,3/20/2020,1643157,4,0,36.855057,-76.280526,https://twitter.com/NorfolkPD/status/1241209007014117376,Virginia
1923 Prairie Ave,Saint Louis,3/20/2020,1642826,4,0,38.6737759,-90.2102852,https://www.kmov.com/news/four-people-shot-in-jeff-vander-lou-neighborhood-of-north/article_fd4123a0-6a97-11ea-bb19-a366dd8a3fc9.html,Missouri
47 Hancock St,Rochester,3/20/2020,1643708,0,0,43.1491022,-77.642788,https://mobile.twitter.com/barstow_scott/status/1241413276870873089/photo/1,New York
1200 block of Broad St,Hoxie,3/20/2020,1644088,0,2,40.21799,-79.49156,https://www.kait8.com/2020/03/23/hoxie-police-investigate-friday-shooting-deaths/,Arkansas
717 SW 16th St,Boynton Beach,3/20/2020,1643540,0,2,26.5195846,-80.0831471,https://www.palmbeachpost.com/news/20200323/woman-killed-in-boynton-murder-suicide-taught-in-lake-worth-beach,Florida
116-45 148th St,Corona (Queens),3/20/2020,1643135,1,0,35.767842,-80.873426,https://twitter.com/NYC_Alerts911/status/1241141341100351488,New York
2271 3rd Ave,New York (Manhattan),3/20/2020,1643129,1,0,40.802535,-73.936278,https://twitter.com/NYC_Alerts911/status/1241158993218867201,New York
1231 Decatur St,Brooklyn,3/20/2020,1643128,0,0,40.6896566,-73.9069556,https://twitter.com/NYC_Alerts911/status/1241159903131156482,New York
660 Gates Ave,Brooklyn,3/20/2020,1643125,1,0,40.6874901,-73.9380235,https://twitter.com/NYC_Alerts911/status/1241179139304013826,New York
2000 block of Clairmont Ave,Akron,3/21/2020,1644605,0,0,41.031668,-81.525065,https://www.cleveland.com/crime/2020/03/multiple-shootings-in-akron-leave-1-person-wounded-police-say.html,Ohio
600 block of Sylvan Ave,Akron,3/21/2020,1644604,0,0,41.054333,-81.494151,https://www.cleveland.com/crime/2020/03/multiple-shootings-in-akron-leave-1-person-wounded-police-say.html,Ohio
765 Darrow Rd,Akron,3/21/2020,1644602,1,0,41.084372,-81.441436,https://www.cleveland.com/crime/2020/03/multiple-shootings-in-akron-leave-1-person-wounded-police-say.html,Ohio
Euclid Ave,Pueblo,3/21/2020,1643670,1,0,38.2368538,-104.6356595,https://www.chieftain.com/news/20200321/man-shot-during-home-invasion-in-pueblorsquos-south-side,Colorado
2700 block of E 8th St,Lubbock,3/21/2020,1644597,1,0,33.5886084,-101.8084084,https://www.everythinglubbock.com/news/woman-shot-in-the-back-right-shoulder-in-lubbock-early-saturday-morning/,Texas
1000 block of Commerce Dr,Perris,3/21/2020,1643661,0,1,33.8325078,-117.2237753,https://www.pe.com/2020/03/21/person-shot-to-death-in-perris-hunt-for-killer-is-on/,California
50 Bickford St,Boston,3/21/2020,1644076,1,0,42.3235277,-71.1021077,https://www.universalhub.com/crime/20200321/man-shot-mildred-hailey-apartments-jamaica-plain,Massachusetts
Hudson Ave and Roycroft Dr,Rochester,3/21/2020,1643706,0,1,43.1927176,-77.5999453,https://13wham.com/news/local/man-shot-and-killed-on-roycroft-drive,New York
2000 block of E Church St,Stockton,3/21/2020,1644066,0,0,35.795064,-80.876123,https://www.mercurynews.com/2020/03/22/irresponsible-gun-activity-leads-to-2-arrests-in-stockton/,California
N/A,San Angelo,3/21/2020,1644583,0,0,31.4648357,-100.4398442,https://www.conchovalleyhomepage.com/crime/jail-logs/jail-log-march-21-23-2020/,Texas
Country Club Blvd,Stockton,3/21/2020,1644058,0,0,37.9694539,-121.3151449,https://www.mercurynews.com/2020/03/22/irresponsible-gun-activity-leads-to-2-arrests-in-stockton/,California
N/A,Wyandanch,3/21/2020,1643650,1,0,40.7539878,-73.360398,https://patch.com/new-york/islip/s/h22u3/man-injured-in-wyandanch-shooting-police?utm_source=alert-breakingnews&utm_medium=email&utm_campaign=alert,New York
McKee Ave,Monessen,3/21/2020,1647038,0,0,40.1605344,-79.8902413,https://www.heraldstandard.com/news/local_news/monessen-man-charged-with-allegedly-pointing-gun-at-woman/article_a0620b7a-7057-11ea-9dc4-e77d15d04526.html,Pennsylvania
7400 block of S Union Rd,Miamisburg,3/21/2020,1643648,1,0,39.6512989,-84.3090589,https://www.whio.com/news/local/shooting-victim-miamisburg-drives-themselves-the-hospital/Sy5yE9F6gNaHDp4BvMmxdN/,Ohio
292 N Manassas St,Memphis,3/21/2020,1644033,0,1,35.1490972,-90.0342966,https://wreg.com/news/one-person-dead-after-shooting-near-medical-district/,Tennessee
1303 US-190,Huntsville,3/21/2020,1644567,0,0,30.7181938,-95.5288407,https://www.itemonline.com/news/local_news/police-blotter/article_b837b00d-599e-5d2f-8e13-328081f86f61.html,Texas
N/A,Bakersfield,3/21/2020,1644016,1,0,35.3738712,-119.0194639,https://www.turnto23.com/news/local-news/man-pulls-out-fake-gun-during-dispute-in-south-bakersfield-gets-shot-by-another-man-with-a-real-gun,California
2520 S Hamilton Rd,Columbus,3/21/2020,1643637,0,1,39.9242174,-82.879716,https://abc6onyourside.com/news/local/man-charged-with-homicide-for-deadly-southeast-columbus-shooting,Ohio
1800 block of Harbor Ave,Long Beach,3/21/2020,1644009,2,0,33.78997,-118.210378,https://www.lbreport.com/news/mar20/245harb.htm?fbclid=IwAR2HcOSW2fWHETIUH6bzm_QG7ul7qr7YTaRDx3a_OCY3QT_iYAH3YwHYKuM,California
Langford Ave and W Green Dr,High Point,3/21/2020,1644007,1,0,32.374367,-87.013449,https://www.wxii12.com/article/man-wounded-in-high-point-drive-by-shooting/31862385,North Carolina
1000 block of Knollwood Drive,Tobyhanna,3/21/2020,1645195,1,0,36.016442,-86.116028,https://www.lehighvalleylive.com/northampton-county/2020/03/woman-thought-her-husband-was-cheating-so-she-shot-him-cops-say.html,Pennsylvania
2414 N Fruit Ave,Fresno,3/21/2020,1643678,1,0,36.772294,-119.8175127,https://www.fresnobee.com/news/local/crime/article241406451.html,California
100 block of Alamo Plaza,San Antonio,3/21/2020,1643474,1,0,29.42372,-98.487152,https://www.ksat.com/news/local/2020/03/23/family-of-homeless-man-shot-in-alamo-plaza-says-victim-suffers-from-mental-illness/,Texas
3796 Salem Ave,Dayton,3/21/2020,1643983,1,0,39.7968083,-84.2507348,https://www.whio.com/news/local/dayton-police-respond-shooting-near-popeyes-salem-avenue/OKu2uAEkQKRrn0fdiyZkXM/,Ohio
821 Main St,Ridgeway,3/21/2020,1643976,0,0,36.5770766,-79.8583062,https://wset.com/news/local/man-arrested-after-stealing-guns-at-gunpoint-in-henry-co-sheriffs-office,Virginia
Hiawatha St and E Hudson St,Columbus,3/21/2020,1643972,1,0,40.0314069,-82.9853943,https://myfox28columbus.com/news/local/man-injured-in-north-columbus-shooting,Ohio
200 block of E Olive St,Decatur,3/21/2020,1643971,0,0,39.859744,-88.954468,https://herald-review.com/news/local/crime-and-courts/police-spent-shell-casings-found-after-reports-of-gunfire-on/article_5d7c817d-c026-57e9-99b1-8fa000cd08e3.html,Illinois
Ajax Dr and Tower Dr,Hope Mills,3/21/2020,1644054,1,2,35.795153,-80.832621,https://www.wral.com/second-arrest-made-in-hope-mills-double-homicide/19032433/,North Carolina
1400 block of Hickory St,Clovis,3/21/2020,1643409,0,1,34.4099473,-103.1914551,https://www.myhighplains.com/news/clovis-man-dies-after-gunshot-wound/,New Mexico
3000 block of Wilton Ave,Dallas,3/21/2020,1643958,1,0,32.72868,-96.871086,https://www.wfaa.com/article/news/crime/man-in-critical-condition-after-shooting-dallas-police-say/287-9c08326c-09d8-47bc-819d-88e1e543e19a,Texas
1719 W 18th St,Cedar Falls,3/21/2020,1645137,0,0,42.5223338,-92.4659027,https://wcfcourier.com/news/local/crime-and-courts/cedar-falls-woman-arrested-for-pointing-gun-at-delivery-crew/article_609fd26b-ab1c-5793-9ce2-f3833c4d8f82.html,Iowa
900 block of Long Blvd,Lansing,3/21/2020,1645105,1,0,42.659108,-84.537163,https://www.lansingstatejournal.com/story/news/local/2020/03/23/man-charged-attempted-murder-after-weekend-shooting-lansing/2900764001/,Michigan
500 block of Denison Lane,Bakersfield,3/21/2020,1643587,0,1,36.016987,-86.117957,https://www.turnto23.com/news/crime/coroner-identifies-victim-in-deadly-shooting-over-the-weekend,California
1800 block of W Tioga St,Philadelphia,3/21/2020,1643592,3,0,40.006933,-75.158454,https://6abc.com/2-men-teen-shot-in-tioga-nicetown/6036542/,Pennsylvania
Live Oak Cir,Knoxville,3/21/2020,1644387,0,2,35.9138423,-84.1598126,https://www.wbir.com/article/news/crime/kcso-man-charged-with-murdering-two-after-driving-pickup-truck-into-home/51-7cab55b4-d4c5-4c32-b1ea-65816ab8726e,Tennessee
829 Mahr Ave,Lawrenceburg,3/21/2020,1643839,0,1,35.049534,-80.601318,https://www.wsmv.com/news/man-arrested-for-murder-in-lawrenceburg-saturday-night/article_0c64bc98-6c96-11ea-881a-ef36e2b29917.html,Tennessee
Navajo Rt 7,Apache (county),3/21/2020,1645587,0,2,35.7598425,-109.0660455,https://www.wmicentral.com/two-ohio-men-found-dead-in-remote-apache-county-location/article_8cf9fcf7-9b9a-5f57-b9a3-07f2d362f7d9.html,Arizona
2800 block of Norwood,Saint Louis,3/21/2020,1643919,3,0,38.670737,-90.25848,https://www.ksdk.com/article/news/crime/north-city-argument-shooting-3-injured/63-2e4c5ab9-ef4c-4819-9ed8-8e5cd69ee8df,Missouri
874 Warren Ave,Brockton,3/21/2020,1643913,0,0,42.0680901,-71.0201754,https://www.enterprisenews.com/news/20200322/man-runs-from-scene-of-shooting-incident-in-brockton?rssfeed=true,Massachusetts
2200 500 E,Salt Lake City,3/21/2020,1644318,0,0,40.722857,-111.876924,https://gephardtdaily.com/local/salt-lake-county-man-arrested-after-allegedly-robbing-teen-of-shoes-at-gunpoint/,Utah
15500 block of E 53rd Ave,Denver,3/21/2020,1643668,0,1,39.7891943,-104.8046419,https://www.denverpost.com/2020/03/26/denver-shooting-death-abenezer-zenebe/,Colorado
6200 S 3200 West,Salt Lake City (Taylorsville),3/21/2020,1643499,0,1,40.7430711,-111.9677254,https://www.ksl.com/article/46732996/officer-involved-shooting-leaves-1-man-dead-in-taylorsville,Utah
700 block of N Huckleberry Ave,Bear,3/21/2020,1643570,1,0,39.615729,-75.689419,https://www.delawareonline.com/story/news/2020/03/21/police-investigate-scene-waterford-trailer-park-tape-off-area/2891548001/,Delaware
1300 block of N Ellamont St,Baltimore,3/21/2020,1643559,1,0,39.3034076,-76.6707303,https://www.baltimoresun.com/news/crime/bs-md-ci-cr-shootings-20200321-xb7gcgqp5ndhxeffapjuk6vgdy-story.html,Maryland
200 block of Paca St,Baltimore,3/21/2020,1643557,1,0,39.2625649,-76.6458754,https://www.baltimoresun.com/news/crime/bs-md-ci-cr-shootings-20200321-xb7gcgqp5ndhxeffapjuk6vgdy-story.html,Maryland
400 block of N Luzerne Ave,Baltimore,3/21/2020,1643546,1,0,39.2959405,-76.581077,https://www.baltimoresun.com/news/crime/bs-md-ci-cr-shootings-20200321-xb7gcgqp5ndhxeffapjuk6vgdy-story.html,Maryland
4 1st St,Greenville,3/21/2020,1643312,0,1,34.8513137,-82.4272322,https://www.foxcarolina.com/investigations/deputies-man-wanted-for-murder-in-shooting-death-of-greenville-co-woman-arrested-in-pennsylvania/article_8ba76382-7440-11ea-9fec-83d47e4a1485.html,South Carolina
4700 block of Cadillac Boulevard,Detroit,3/21/2020,1643514,1,0,42.379907,-82.995042,https://www.clickondetroit.com/news/local/2020/03/21/man-shot-in-his-vehicle-by-unknown-suspect-in-detroit/,Michigan
Woodward Ave and Glynn Ct,Detroit,3/21/2020,1643510,0,0,42.439219,-83.1202315,https://twitter.com/DetroitScanner/status/1241429102353137665,Michigan
1915 S Euclid Ave,Bay City,3/21/2020,1643490,1,0,43.5812596,-83.9156137,https://www.mlive.com/news/saginaw-bay-city/2020/03/saginaw-man-shot-in-bay-citys-south-end.html,Michigan
Pearl St,Pageland,3/21/2020,1643467,0,1,34.7555178,-80.3917749,https://www.wsoctv.com/news/local/teenager-shot-killed-near-pageland-neighborhood-police-say/C63RSD4T45GNJDFGKHB2VDLZA4/,South Carolina
1400 block of Aberdeen Rd,Hampton,3/21/2020,1643538,0,1,37.032963,-76.405839,https://www.wavy.com/news/local-news/hampton/hampton-police-investigate-saturday-afternoon-homicide/,Virginia
1400 block of Bumblebee Dr,Gardnerville,3/21/2020,1643726,0,1,38.8894698,-119.7297222,https://www.kolotv.com/content/news/One-dead-in-Gardnerville-Ranchos-shooting-569008911.html,Nevada
Park Ave and Belmont Ave,Fresno,3/21/2020,1644291,1,0,36.6799698,-119.400167,https://www.fresnobee.com/news/local/crime/article241405821.html,California
Annchester Rd and Curtis St,Detroit,3/21/2020,1643867,1,0,42.4421712,-83.2356848,https://twitter.com/DetroitScanner/status/1241572234961002496,Michigan
10900 block of East 16th Ave,Aurora,3/21/2020,1643675,0,1,39.741892,-104.860955,https://www.9news.com/article/news/crime/man-dead-after-shooting-in-aurora-apartment/73-a182cc11-811c-48b4-b13b-921d62f1f370,Colorado
1400 block of Greenfield St,Wilmington,3/21/2020,1643855,0,0,34.21773,-77.929117,https://www.wect.com/2020/03/22/wilmington-police-investigate-shots-fired-car/,North Carolina
600 block of N 30th St,Wilmington,3/21/2020,1643859,0,0,34.2464062,-77.9070671,https://www.wect.com/2020/03/22/two-cars-hit-by-gunfire-wilmington/,North Carolina
7300 block of Capri Dr,Fort Wayne,3/21/2020,1643427,0,1,41.0178007,-85.1586472,https://www.journalgazette.net/article/20200321/WEB/200329979,Indiana
1375 Southern Ave,Baton Rouge,3/21/2020,1643512,1,0,30.5307081,-91.1796435,https://www.wafb.com/2020/03/21/one-seriously-injured-shooting-southern-avenue/,Louisiana
2400 block of Loyola Northway,Baltimore,3/21/2020,1643421,1,0,39.3387331,-76.6583529,https://www.facebook.com/BaltimoreCityPolice/posts/10156732766616956,Maryland
Harper Valley Road,Kiowa,3/21/2020,1643842,0,1,34.727725,-95.9348139,https://www.mcalesternews.com/news/sheriff-one-dead-after-shooting-in-pittsburg-county/article_f1d92f52-6b8d-11ea-9083-3782eb5649ad.html?fbclid=IwAR149rcS0J_23oUr2Wkq_qjc5l8w3W1RYaY3wGGDqPNbaY3Pgw1yITK1yZs,Oklahoma
2677 NW 10th St,Ocala,3/21/2020,1644272,1,0,29.1969224,-82.1418975,https://www.ocala.com/news/20200325/ocala-shooting-victim-recovering-no-arrests-yet,Florida
1900 block of Wilkes Dr,Springfield,3/21/2020,1644911,1,0,39.950287,-83.778508,https://www.springfieldnewssun.com/news/crime--law/police-investigate-after-man-shot-leg-outside-springfield-apartment/gvOawWzAPtf9M7LWNk1sKM/,Ohio
2700 block of Argyle Drive NW,Atlanta,3/21/2020,1643923,0,1,33.799451,-84.476934,https://www.11alive.com/article/news/crime/28-year-old-man-shot-killed-by-girlfriend-playing-with-a-gun/85-1585a1d3-5e93-41ec-a9e4-66ba44beec70,Georgia
1417 Tampa Park Plaza,Tampa,3/21/2020,1643831,0,1,32.43432,-87.030498,https://www.tampabay.com/news/hillsborough/2020/03/22/tampa-police-investigating-homicide-at-apartment-complex/,Florida
3600 block of Spanish Branch,San Antonio,3/21/2020,1643400,0,0,29.3847239,-98.3806895,https://foxsanantonio.com/news/local/three-men-arrested-after-bullets-barely-miss-victim-in-shooting-on-lower-southeast-side,Texas
727 Carlsbad Caverns Hwy,Carlsbad,3/21/2020,1644201,0,1,36.088757,-86.138064,https://www.abqjournal.com/1436126/park-ranger-involved-in-fatal-shooting-near-carlsbad-caverns-on-saturday.html,New Mexico
800 block of Alabama Ave SE,Washington,3/21/2020,1643380,1,0,38.8438388,-76.9944942,https://twitter.com/alanhenney/status/1241223814786297857,District of Columbia
1400 block of East Rose Street,Blytheville,3/21/2020,1643827,0,1,35.9223745,-89.8843306,https://www.kait8.com/2020/03/22/blytheville-police-investigate-homicide-east-rose-street/,Arkansas
5000 block of Call Pl SE,Washington,3/21/2020,1643379,1,0,38.8847253,-76.9303634,https://twitter.com/alanhenney/status/1241248194979418113,District of Columbia
W 41st Ave and Pierce St,Gary,3/21/2020,1644256,2,0,41.5440888,-87.3460753,https://www.nwitimes.com/news/local/crime-and-courts/update-children-injured-in-overnight-shooting-police-say/article_288f8611-5e9d-517e-84ee-be6f2ffbbc26.html,Indiana
1300 block of Terrace Dr,Bullhead City,3/21/2020,1643818,1,0,35.119205,-114.6009,https://www.facebook.com/mohavevalleydailynews/posts/3138062512891364,Arizona
2100 block of North Towne Ct NE,Cedar Rapids,3/21/2020,1643298,1,0,42.0342469,-91.671003,https://kwwl.com/2020/03/21/one-man-hurt-in-cedar-rapids-shooting/,Iowa
N 27th St and W Melvina St,Milwaukee,3/21/2020,1643367,1,0,43.0413166,-87.9477076,https://fox6now.com/2020/03/21/police-investigating-non-fatal-shooting-near-27th-melvina/,Wisconsin
Waterford Sound Blvd,Gulf Breeze,3/21/2020,1644235,0,0,35.738566,-80.757031,https://weartv.com/news/local/two-guns-stolen-from-cars-in-santa-rosa-county,Florida
N/A,Lake Havasu City,3/21/2020,1654619,0,0,34.4838502,-114.3224495,https://www.havasunews.com/news/crime/police-man-pointed-weapon-at-victim-in-his-residence/article_d66de720-7962-11ea-bfb5-b381cbcf416d.html,Arizona
Starlight Dr,Madison,3/21/2020,1644234,0,0,43.0410879,-89.4574655,https://www.cityofmadison.com/police/newsroom/incidentreports/incident.cfm?id=25400,Wisconsin
1400 Block of McCoy Chapel St,Little Rock,3/21/2020,1643822,0,2,35.804235,-80.883322,https://www.wmbfnews.com/2020/04/17/dillon-county-coroner-identifies-victims-two-deadly-shootings/,South Carolina
W Tennessee St and Barineau Rd,Tallahassee,3/21/2020,1643811,0,1,30.4507618,-84.3333337,https://www.wtxl.com/news/local-news/deputies-argument-over-money-ends-in-fatal-shooting-on-west-tennessee-street,Florida
W Alamo Dr,Beverly Hills,3/21/2020,1643805,1,0,35.945346,-81.001607,https://www.wfla.com/news/local-news/citrus-county/1-injured-after-shooting-inside-citrus-county-home/,Florida
E Lake Ave and 43rd St N,Tampa,3/21/2020,1643798,1,1,27.9778263,-82.4432552,https://www.wfla.com/news/local-news/1-dead-1-hospitalized-after-tampa-shooting/,Florida
N/A,Draper,3/21/2020,1651302,0,0,40.5246711,-111.8638226,https://www.ksl.com/article/46737434/man-charged-in-connection-with-firearm-thefts,Utah
6600 block of Hiddenbrook Trail,South Fulton,3/21/2020,1643384,0,3,35.801251,-80.879857,https://www.ajc.com/news/crime--law/breaking-man-charged-shooting-crash-that-killed-people-south-fulton/5M3JMx7nkrzPUNtLsIY4IM/,Georgia
2400 block of Alabama Ave SE,Washington,3/21/2020,1643195,2,0,38.8515914,-76.9719352,https://www.washingtonpost.com/local/public-safety/woman-fatally-shot-in-anacostia-area-of-southeast-washington/2020/03/21/bb5b83d6-6b8c-11ea-b313-df458622c2cc_story.html,District of Columbia
Lancaster St,Baltimore,3/21/2020,1644211,0,0,39.2825648,-76.5930681,https://foxbaltimore.com/news/local/shooting-in-fells-point-caught-on-camera,Maryland
1900 block of Long 14th St,Bessemer,3/21/2020,1643955,1,1,32.406932,-87.021931,https://www.al.com/news/birmingham/2020/03/2-of-3-men-killed-in-bessemer-shootings-saturday-night-now-identified.html,Alabama
5400 block of Mexico Lane,Fennville,3/21/2020,1643782,0,1,40.22052,-79.493179,https://www.fox17online.com/woman-shot-killed-in-allegan-county,Michigan
2343 CA-58 BUS,Mojave,3/21/2020,1643877,0,1,35.0478734,-118.1713692,https://www.turnto23.com/news/crime/two-officer-involved-shootings-in-three-days-in-mojave,California
10th Avenue South and Oak Street,Myrtle Beach,3/21/2020,1644131,1,0,33.6793059,-78.8988807,https://www.wbtw.com/news/three-charged-in-myrtle-beach-shooting-incident/,South Carolina
I-295 and Eastern Ave NE,Washington,3/21/2020,1643381,0,1,38.8949855,-77.0365708,https://www.washingtonpost.com/local/public-safety/dc-man-fatally-shot-in-prince-georges-county-police-say/2020/03/23/ffc8ce6a-6d68-11ea-aa80-c2470c6b2034_story.html,District of Columbia
600 block of Bell St,Bessemer,3/21/2020,1643964,0,2,33.381356,-86.955055,https://www.trussvilletribune.com/2020/03/26/teen-charged-with-fatally-shooting-2-men/,Alabama
24700 block of Bracken Ln,Stevenson Ranch,3/21/2020,1643992,1,0,34.376093,-118.570236,http://theavtimes.com/2020/03/25/three-charged-in-antelope-valley-robbery-spree/,California
